"Kielikoodi
 ","Kieli (suomeksi)
 ","Kieli (englanniksi)
 ","Huomautus
 "
aar,afar,Afar, 
abk,abhaasi,Abkhaz, 
ace,aceh,Achinese, 
ach,atsoli,Acoli, 
ada,adangme,Adangme, 
ady,adyge,Adygei,Aikaisempi koodi: cau
afa,afroaasialaiset kielet,Afroasiatic languages,Käytä yksilöimättömille afroaasialaisille kielille
afh,afrihili (keinotekoinen kieli),Afrihili (Artificial language), 
afr,afrikaans,Afrikaans, 
ain,ainu,Ainu,Aikaisempi koodi: mis
[ajm], ,[Aljamia],VANHENTUNUT!
aka,akan,Akan, 
akk,akkadi,Akkadian, 
alb,albania,Albanian, 
ale,aleutti,Aleut, 
alg,algonkin-kielet,Algonquian languages,Käytä yksilöimättömille algonkin-kielille
alt,altai,Souther Altai,Aikaisempi koodi: tut
amh,amhara,Amharic, 
ang,muinaisenglanti (n. 450-1100),"English, Old (ca. 450-1100)", 
anp,angika,Angika,Aikaisempi koodi: bih
apa,apassikielet,Apache languages,Käytä yksilöimättömille apassikielille
ara,arabia,Arabic, 
arc,aramea,Aramaic, 
arg,aragonia,Aragonese Spanish,Aikaisempi koodi: spa
arm,armenia,Armenian, 
arn,araukaani,Mapudungun, 
arp,arapho,Arapaho, 
art,keinotekoiset kielet,Artificial languages,Käytä yksilöimättömille keinotekoisille kielille
arw,arawak,Arawak, 
asm,assami,Assamese, 
ast,asturia,Bable,Aikaisempi koodi: spa
ath,athapasca-kielet,Athapascan languages,Käytä yksilöimättömille athapasca-kielille
aus,australialaiset kielet,Australian languages,Käytä yksilöimättömille australialaisille kielille
ava,avaari,Avaric, 
ave,avesta,Avestan, 
awa,awadhi,Awadhi, 
aym,aimara,Aymara, 
aze,azeri,Azerbaijani, 
bad,banda,Banda languages, 
bai,bamileke-kielet,Bamileke languages,Käytä yksilöimättömille bamileke-kielille
bak,baskiiri,Bashkir, 
bal,belutsi,Baluchi, 
bam,bambara,Bambara, 
ban,bali,Balinese, 
baq,baski,Basque, 
bas,basa (bantukielet),Basa, 
bat,balttilaiset kielet,Baltic languages,Käytä yksilöimättömille balttilaisille kielille
bej,bedza,Beja, 
bel,valkovenäjä,Belarusian, 
bem,bemba,Bemba, 
ben,bengali,Bengali, 
ber,berberikielet,Berber languages,Käytä yksilöimättömille berberikielille
bho,bhodzpuri,Bhojpuri, 
bih,bihari,Bihari languages, 
bik,bikol,Bikol, 
bin,bini,Bini, 
bis,bislama,Bislama, 
bla,mustajalka,Siksika, 
bnt,bantukielet,Bantu languages,Käytä yksilöimättömille bantukielille
bos,bosnia,Bosnian, 
bra,bradz,Braj, 
bre,bretoni,Breton, 
btk,batak,Batak languages, 
bua,burjaatti,Buriat, 
bug,bugi,Bugis, 
bul,bulgaria,Bulgarian, 
bur,burma,Burmese, 
byn,bilin,Bilin,Aikaisempi koodi: cus
cad,caddo,Caddo, 
